ine5,nom,costaner,dist_m
25252,Vila-sana,0,63689
17224,Vilallonga de Ter,0,63776
08272,Sora,0,63792
25007,Albatàrrec,0,63906
25197,Sant Guim de la Plana,0,64013
25211,Sudanell,0,64267
25041,Barbens,0,64863
25113,Ivars d'Urgell,0,65161
25158,el Palau d'Anglesola,0,65484
08188,Sagàs,0,65540
17112,Ogassa,0,65549
25225,Tornabous,0,65649
25132,Massoteres,0,65807
25157,Ossó de Sió,0,65831
08131,Montesquiu,0,65836
25167,Pinós,0,66007
25223,Torà,0,66221
25210,Soses,0,66380
25110,Guissona,0,66695
17147,Ripoll,0,66711
25131,Massalcoreig,0,66818
25052,Bellvís,0,67000
25181,Puigverd d'Agramunt,0,67185
08047,Cardona,0,67214
25168,el Poal,0,67631
08049,Casserres,0,67888
17096,les Llosses,0,68068
08144,Olvan,0,68082
25011,Alcarràs,0,68099
08004,Alpens,0,68155
25096,la Fuliola,0,68425
08092,Gironella,0,68625
25122,Linyola,0,68815
17043,Queralbs,0,68832
25012,Alcoletge,0,69241
08024,Borredà,0,69393
25164,Penelles,0,69670
25003,Agramunt,0,69871
08132,Montmajor,0,69910
08177,la Quar,0,69942
17125,Pardines,0,70310
25254,Vilanova de la Barca,0,70941
25055,Biosca,0,71146
08130,Montclar,0,71262
25070,Castellserà,0,72333
25150,Oliola,0,72790
08078,l'Espunyola,0,72827
25220,Térmens,0,73013
25078,Corbins,0,73241
25191,Sanaüja,0,73406
08011,Avià,0,73565
25240,Vallfogona de Balaguer,0,73656
25060,Cabanabona,0,73780
17145,Ribes de Freser,0,73825
25075,Clariana de Cardener,0,73864
25186,Riner,0,73986
25233,Torre-serona,0,74176
25047,Bellcaire d'Urgell,0,74476
25249,Vilanova de l'Aguda,0,74502
25049,Bellmunt d'Urgell,0,74676
25146,Navès,0,74949
25177,Preixens,0,75316
25231,Torrelameu,0,75567
25053,Benavent de Segrià,0,75774
25023,Alpicat,0,75831
25228,Torrefarrera,0,76053
08022,Berga,0,76168
25134,Menàrguens,0,76306
25138,Montgai,0,76319
08268,Cercs,0,76843
17036,Campdevànol,0,76944
08299,Vilada,0,77278
25129,Llobera,0,77458
25040,Balaguer,0,77652
25189,Rosselló,0,77890
08216,Sant Jaume de Frontanyà,0,78197
08045,Capolat,0,78761
25251,Vilanova de Segrià,0,78804
25034,Artesa de Segre,0,78847
25035,la Sentiu de Sió,0,78911
25079,Cubells,0,78964
25008,Albesa,0,79068
25174,la Portella,0,79244
17037,Campelles,0,79449
08057,Castell de l'Areny,0,79840
25166,Pinell de Solsonès,0,80070
17134,Planoles,0,80481
25094,Foradada,0,80520
25912,Gimenells i el Pla de la Font,0,80977
08142,la Nou de Berguedà,0,81252
25016,Alguaire,0,81252
17080,Gombrèn,0,81487
08050,Castellar del Riu,0,81757
08166,la Pobla de Lillet,0,81866
25151,Olius,0,82076
25069,Castelló de Farfanya,0,83050
17201,Toses,0,83064
25172,Ponts,0,83148
25019,Almacelles,0,83240
25207,Solsona,0,83975
25062,Camarasa,0,84010
25156,Os de Balaguer,0,84703
25021,Almenar,0,85689
08903,Sant Julià de Cerdanyola,0,85700
08080,Fígols,0,86326
25111,Guixers,0,86379
25064,Castellar de la Ribera,0,86678
25222,Tiurana,0,86729
08052,Castellar de n'Hug,0,86770
25042,la Baronia de Rialb,0,86824
25015,Algerri,0,86869
25044,Bassella,0,86922
17094,Llívia,0,86987
08099,Guardiola de Berguedà,0,87043
25022,Alòs de Balaguer,0,87477
25124,Lladurs,0,87717
08293,Vallcebre,0,88425
17006,Alp,0,89133
25037,les Avellanes i Santa Linya,0,90627
08190,Saldes,0,90841
17141,Puigcerdà,0,91114
25100,Gósol,0,91220
08016,Bagà,0,91301
25013,Alfarràs,0,91360
25250,Vilanova de Meià,0,91777
08093,Gisclareny,0,92396
17069,Fontanals de Cerdanya,0,92420
25193,Sant Llorenç de Morunys,0,92944
25112,Ivars de Noguera,0,93077
