ine5,nom,densitat_hab_km2,our_gap_pct,etca_gap_pct,our_lo_pct,our_hi_pct,signe_oposat,classe
17184,Santa Pau,32.9,-18.0,1.2,-30.1,-0.1,1,soroll
17185,Sant Joan les Fonts,96.1,-20.1,11.4,-31.9,-2.8,1,senyal
17186,Sarrià de Ter,1264.3,-12.3,-7.6,-25.3,6.7,0,coincident
17187,"Saus, Camallera i Llampaies",78.2,19.4,10.2,1.8,45.4,0,coincident
17189,"Cellera de Ter, la",136.8,-9.1,-4.5,-22.6,10.6,0,coincident
17190,Serinyà,69.1,-9.7,-7.6,-23.1,9.9,0,coincident
17193,Sils,222.8,14.4,-1.2,-2.5,39.3,1,soroll
17199,Torroella de Montgrí,188.2,35.4,70.0,5.0,69.7,0,coincident
17202,Tossa de Mar,164.0,60.0,109.9,24.1,100.5,0,coincident
17204,Ullà,162.4,-2.6,-3.8,-17.0,18.6,0,coincident
17207,"Vall d'en Bas, la",35.3,-18.6,-7.2,-30.6,-1.0,0,coincident
17208,"Vall de Bianya, la",14.3,-9.8,11.9,-23.2,9.7,1,soroll
17209,Vall-llobrega,166.0,39.4,19.5,18.8,69.6,0,coincident
17211,Verges,124.9,5.8,0.6,-9.8,28.7,0,coincident
17213,Vidreres,179.5,15.6,0.3,-1.5,40.7,0,coincident
17215,Vilablareix,611.3,-4.2,-3.0,-18.4,16.5,0,coincident
17220,Viladrau,23.0,56.9,32.9,33.8,91.1,0,coincident
17221,Vilafant,679.9,-11.5,-9.4,-24.6,7.7,0,coincident
17223,Vilajuïga,88.8,-6.6,-11.5,-20.4,13.7,0,coincident
17226,Vilamalla,136.4,-2.7,32.9,-17.1,18.4,1,soroll
17233,Vilobí d'Onyar,101.4,0.5,0.0,-14.4,22.3,0,coincident
17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",13.2,20.3,4.9,2.5,46.4,0,coincident
17902,Forallac,34.9,67.3,4.6,42.5,103.6,0,coincident
17903,Sant Julià del Llor i Bonmatí,143.8,-16.1,-19.6,-28.5,2.2,0,coincident
25003,Agramunt,70.5,7.5,-6.5,-8.4,30.8,1,soroll
25007,Albatàrrec,212.0,-18.2,-13.3,-30.4,-0.5,0,coincident
25008,Albesa,41.8,-12.5,-9.4,-25.4,6.6,0,coincident
25011,Alcarràs,89.4,7.4,-5.2,-8.5,30.7,1,soroll
25012,Alcoletge,216.8,0.9,-10.0,-14.0,22.8,1,soroll
25013,Alfarràs,243.3,7.2,-11.3,-8.7,30.5,1,soroll
25016,Alguaire,59.5,0.0,-8.1,-14.8,21.7,0,coincident
25019,Almacelles,143.6,-5.4,-7.7,-19.4,15.1,0,coincident
25021,Almenar,49.8,8.7,-5.9,-7.3,32.4,1,soroll
25023,Alpicat,427.6,6.8,-17.7,-9.0,30.0,1,soroll
25025,Naut Aran,7.3,257.0,125.3,204.2,334.4,0,coincident
25027,Anglesola,58.1,32.0,-0.1,12.6,60.7,1,soroll
25029,Arbeca,35.9,-13.6,-8.7,-26.4,5.1,0,coincident
