ine5,municipi,tipus_territorial,densitat_hab_km2,etca,kwh_dom,base_implied,base_pred,err_regressio_pct,err_loo_pct
17086,"Jonquera, la",interior_rural,57.7,6332.0,5317706,840.0,1382.0,-39.2,-39.4
17087,Juià,interior_rural,41.5,,596345,,1794.0,,
17088,Lladó,interior_rural,60.4,,1214122,,1712.0,,
17089,Llagostera,interior_rural,123.0,8864.0,13400324,1512.0,1335.0,13.3,13.4
17090,Llambilles,interior_rural,48.7,,1723253,,2017.0,,
17091,Llanars,interior_rural,20.7,,1290086,,1834.0,,
17093,Llers,interior_rural,59.1,1304.0,1926930,1478.0,1734.0,-14.8,-14.9
17094,Llívia,interior_rural,118.9,1884.0,3941102,2092.0,1778.0,17.7,17.9
17096,"Llosses, les",interior_rural,1.7,,482488,,1920.0,,
17097,Madremanya,interior_rural,21.1,,601622,,1954.0,,
17098,Maià de Montcal,interior_rural,28.2,,705413,,1819.0,,
17099,Meranges,interior_rural,2.9,,219996,,1921.0,,
17100,Masarac,interior_rural,23.3,,409813,,1800.0,,
