codi6;ine5;nom
431188;43118;Pratdip
081712;08171;Prats de Lluçanès
251752;25175;Prats i Sansor
251765;25176;Preixana
251771;25177;Preixens
082303;08230;Premià de Dalt
081727;08172;Premià de Mar
251790;25179;Prullans
081751;08175;Puig-reig
171411;17141;Puigcerdà
081748;08174;Puigdàlber
251804;25180;Puiggròs
431191;43119;Puigpelat
251811;25181;Puigverd d'Agramunt
251826;25182;Puigverd de Lleida
081764;08176;Pujalt
171426;17142;Quart
170433;17043;Queralbs
431205;43120;Querol
171432;17143;Rabós
081786;08178;Rajadell
431212;43121;Rasquera
171447;17144;Regencós
081799;08179;Rellinars
431227;43122;Renau
431233;43123;Reus
251832;25183;Rialp
431251;43125;Riba-roja d'Ebre
259059;25905;Ribera d'Ondara
251850;25185;Ribera d'Urgellet
171450;17145;Ribes de Freser
171463;17146;Riells i Viabrea
251863;25186;Riner
171479;17147;Ripoll
081803;08180;Ripollet
259139;25913;Riu de Cerdanya
171485;17148;Riudarenes
171498;17149;Riudaura
431270;43127;Riudecanyes
431286;43128;Riudecols
171501;17150;Riudellots de la Selva
431299;43129;Riudoms
171518;17151;Riumors
431303;43130;Rocafort de Queralt
431310;43131;Roda de Berà
081831;08183;Roda de Ter
431325;43132;Rodonyà
431331;43133;Roquetes
171523;17152;Roses
251898;25189;Rosselló
081859;08185;Rubió
081846;08184;Rubí
089019;08901;Rupit i Pruit
171539;17153;Rupià
081878;08187;Sabadell
081884;08188;Sagàs
081901;08190;Saldes
171544;17154;Sales de Llierca
081918;08191;Sallent
431359;43135;Salomó
439057;43905;Salou
171557;17155;Salt
251902;25190;Salàs de Pallars
251919;25191;Sanaüja
081944;08194;Sant Adrià de Besòs
081957;08195;Sant Agustí de Lluçanès
081960;08196;Sant Andreu de la Barca
081976;08197;Sant Andreu de Llavaneres
171576;17157;Sant Andreu Salou
171833;17183;Sant Aniol de Finestres
081982;08198;Sant Antoni de Vilamajor
081995;08199;Sant Bartomeu del Grau
082009;08200;Sant Boi de Llobregat
082016;08201;Sant Boi de Lluçanès
082037;08203;Sant Cebrià de Vallalta
082021;08202;Sant Celoni
082042;08204;Sant Climent de Llobregat
171582;17158;Sant Climent Sescebes
082055;08205;Sant Cugat del Vallès
082068;08206;Sant Cugat Sesgarrigues
251961;25196;Sant Esteve de la Sarga
082074;08207;Sant Esteve de Palautordera
082080;08208;Sant Esteve Sesrovires
